,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,446,508,504,505,622
Expenses +,51,71,85,82,62
Operating Profit,395,437,419,424,560
OPM %,89%,86%,83%,84%,90%
Other Income +,17,45,21,76,129
Interest,174,181,195,206,177
Depreciation,159,173,182,195,206
Profit before tax,80,127,63,99,307
Tax %,31%,36%,42%,34%,24%
Net Profit +,56,81,37,66,233
EPS in Rs,0.12,0.14,0.05,0.08,0.28
Raw PDF,,,,,
