,Dec 2023,Mar 2024,Dec 2024,Mar 2025
Sales +,44.94,84.23,103.98,36.61
Expenses +,14.84,34.97,33.06,23.42
Operating Profit,30.10,49.26,70.92,13.19
OPM %,66.98%,58.48%,68.21%,36.03%
Other Income +,0.00,0.49,0.03,0.00
Interest,0.30,0.32,0.37,1.46
Depreciation,1.63,1.66,1.28,2.61
Profit before tax,28.17,47.77,69.30,9.12
Tax %,25.13%,30.88%,25.67%,6.80%
Net Profit +,21.09,33.02,51.51,8.50
EPS in Rs,,,7.29,1.20
Raw PDF,,,,
