,Mar 2023,Mar 2024,Mar 2025
Sales +,553,776,"1,304"
Expenses +,507,705,"1,190"
Operating Profit,47,71,114
OPM %,8%,9%,9%
Other Income +,3,11,27
Interest,11,14,8
Depreciation,6,8,15
Profit before tax,32,60,118
Tax %,28%,26%,26%
Net Profit +,23,44,88
EPS in Rs,2.48,3.59,6.55
Dividend Payout %,0%,0%,0%
