,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,834,"1,047","1,059","1,037","1,029",951,"1,005","1,053","1,177","1,200","1,137","1,141","1,135"
Expenses +,790,975,962,932,903,817,847,879,997,"1,008",929,920,901
Operating Profit,44,72,97,105,126,134,158,174,180,192,208,221,233
OPM %,5%,7%,9%,10%,12%,14%,16%,17%,15%,16%,18%,19%,21%
Other Income +,-23,2,-22,8,11,10,10,10,12,13,14,12,14
Interest,11,13,20,20,13,13,16,21,14,13,11,12,9
Depreciation,13,13,13,13,12,12,12,13,13,13,13,15,14
Profit before tax,-3,48,42,79,111,119,139,150,166,179,197,206,224
Tax %,163%,20%,15%,18%,31%,28%,28%,28%,30%,31%,31%,31%,31%
Net Profit +,-9,39,36,65,76,86,101,109,115,123,136,141,155
EPS in Rs,-0.17,0.92,0.86,1.55,1.76,1.96,2.29,2.47,2.34,2.48,2.74,2.88,3.15
Raw PDF,,,,,,,,,,,,,
