,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"3,686","3,843","4,259","4,698","5,012","5,350","5,791","6,085","6,339","6,728","7,006","7,265","7,108"
Interest,"2,030","2,104","2,349","2,585","2,938","3,255","3,544","3,760","3,936","4,212","4,393","4,570","4,456"
Expenses +,"1,363","1,351","1,541","1,544","1,574","1,634","1,661","1,814","1,917","2,048","2,149","2,349","2,265"
Financing Profit,294,388,369,569,500,461,586,511,486,468,463,346,386
Financing Margin %,8%,10%,9%,12%,10%,9%,10%,8%,8%,7%,7%,5%,5%
Other Income +,484,475,628,565,768,741,757,908,810,936,"1,010",931,"1,047"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,778,863,997,"1,134","1,269","1,202","1,343","1,420","1,296","1,404","1,473","1,277","1,434"
Tax %,25%,26%,26%,25%,26%,26%,26%,25%,25%,26%,25%,26%,23%
Net Profit +,599,645,745,856,964,894,"1,007","1,067",996,"1,047","1,115",951,"1,120"
EPS in Rs,2.79,3.02,3.48,3.99,4.51,4.16,4.23,4.26,3.99,4.20,4.47,3.85,4.44
Gross NPA %,2.78%,2.67%,2.45%,2.42%,2.35%,2.37%,2.27%,2.28%,2.11%,,,,
Net NPA %,0.98%,0.96%,0.82%,0.77%,0.73%,0.74%,0.68%,0.68%,0.63%,,,,
Raw PDF,,,,,,,,,,,,,
