,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,869,"1,140","1,128","1,187","1,200","1,203","1,146","1,151","1,201","1,198","1,224","1,255","1,217"
Expenses +,758,"1,012",965,"1,016","1,009","1,034",979,960,992,"1,004","1,029","1,078","1,071"
Operating Profit,111,127,163,171,190,169,168,191,209,194,195,177,146
OPM %,13%,11%,14%,14%,16%,14%,15%,17%,17%,16%,16%,14%,12%
Other Income +,18,32,18,30,59,41,31,25,25,19,23,-77,18
Interest,2,4,5,7,7,5,5,5,4,3,4,4,3
Depreciation,34,43,44,47,53,46,46,48,51,51,52,53,56
Profit before tax,93,112,131,147,190,160,148,163,180,158,162,43,105
Tax %,37%,23%,29%,23%,22%,26%,30%,31%,21%,27%,28%,13%,71%
Net Profit +,58,86,94,113,149,118,104,112,143,115,116,38,30
EPS in Rs,3.00,4.15,4.69,5.75,7.22,5.96,5.36,5.86,7.09,5.94,6.09,1.83,1.53
Raw PDF,,,,,,,,,,,,,
