,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,256,221,294,269,407,363,418,393,385,440,311,398,328
Expenses +,217,193,224,215,287,266,280,272,278,316,249,311,277
Operating Profit,39,29,69,54,120,97,137,121,107,123,62,87,51
OPM %,15%,13%,24%,20%,29%,27%,33%,31%,28%,28%,20%,22%,16%
Other Income +,1,1,0,1,8,2,3,2,5,25,4,60,7
Interest,3,3,3,3,4,2,4,4,4,3,1,2,2
Depreciation,12,13,13,13,13,14,15,15,16,16,16,16,17
Profit before tax,24,13,53,39,110,83,122,104,92,130,49,128,39
Tax %,10%,26%,28%,22%,23%,26%,27%,22%,27%,25%,34%,20%,29%
Net Profit +,22,10,38,31,85,62,89,81,68,98,33,102,28
EPS in Rs,16.98,7.77,29.98,23.81,65.89,48.23,69.56,63.44,52.66,76.28,25.60,79.18,21.68
Raw PDF,,,,,,,,,,,,,
