,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,743","3,937","4,298","4,725","5,186","5,626","6,317","6,795","7,066","7,633","8,090","8,489","8,913"
Expenses +,"1,719","1,999","2,153","2,212","2,244","2,588","2,898","2,978","2,932","3,253","3,537","3,772","3,709"
Operating Profit,"2,023","1,938","2,145","2,513","2,942","3,038","3,419","3,816","4,134","4,380","4,553","4,718","5,204"
OPM %,54%,49%,50%,53%,57%,54%,54%,56%,59%,57%,56%,56%,58%
Other Income +,52,26,57,52,97,89,55,48,110,45,91,106,98
Interest,"1,079","1,137","1,347","1,551","1,743","2,013","2,209","2,445","2,582","2,796","3,058","3,280","3,361"
Depreciation,42,41,42,44,50,52,52,55,88,70,74,72,79
Profit before tax,954,786,813,970,"1,246","1,062","1,213","1,363","1,574","1,559","1,513","1,471","1,862"
Tax %,28%,26%,25%,26%,28%,25%,27%,25%,27%,26%,26%,26%,27%
Net Profit +,687,582,606,720,901,792,888,"1,027","1,144","1,160","1,125","1,093","1,362"
EPS in Rs,16.23,14.25,15.07,17.69,21.72,19.78,22.41,24.88,27.32,29.20,27.99,25.89,32.68
Raw PDF,,,,,,,,,,,,,
