,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,99,108,119,125,138,183,214,235,252,256,260,277,279
Expenses +,90,93,107,107,115,151,177,188,201,202,210,217,217
Operating Profit,9,15,12,18,23,32,38,46,51,54,50,60,61
OPM %,9%,14%,10%,14%,17%,18%,18%,20%,20%,21%,19%,22%,22%
Other Income +,1,6,8,7,1,5,6,4,11,21,18,17,20
Interest,2,1,0,0,0,0,0,0,0,0,0,0,0
Depreciation,8,8,8,8,8,11,11,10,10,10,9,9,8
Profit before tax,0,12,11,16,15,26,32,39,52,65,58,68,73
Tax %,80%,6%,24%,17%,10%,-31%,22%,24%,22%,24%,22%,24%,23%
Net Profit +,0,12,8,13,13,34,25,30,40,50,45,52,57
EPS in Rs,0.01,1.08,0.78,1.20,1.22,3.12,2.30,2.77,3.43,4.24,3.85,4.43,4.79
Raw PDF,,,,,,,,,,,,,
