,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,057","1,155",539,855,948,766,383,564,750,818,593,653,786
Expenses +,595,715,368,520,559,519,332,444,562,607,453,562,593
Operating Profit,462,441,171,336,390,247,51,121,189,211,140,92,194
OPM %,44%,38%,32%,39%,41%,32%,13%,21%,25%,26%,24%,14%,25%
Other Income +,40,48,53,57,238,64,77,60,72,60,62,114,118
Interest,2,1,1,2,-0,1,1,1,1,1,1,1,0
Depreciation,36,21,19,21,21,19,18,20,22,21,21,26,27
Profit before tax,465,467,205,370,608,291,109,160,238,249,181,179,285
Tax %,53%,26%,26%,28%,27%,25%,32%,27%,21%,26%,29%,18%,21%
Net Profit +,218,345,151,266,442,219,75,117,187,184,128,148,226
EPS in Rs,6.85,10.85,4.76,8.37,13.90,6.88,2.35,3.67,5.89,5.79,4.02,4.64,7.11
Raw PDF,,,,,,,,,,,,,
