,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,0,"1,200","1,945","1,853","2,115"
Expenses +,0,993,"1,603","1,467","1,651"
Operating Profit,0,207,342,386,464
OPM %,,17%,18%,21%,22%
Other Income +,0,3,2,5,10
Interest,0,12,21,17,27
Depreciation,0,42,63,73,87
Profit before tax,0,155,261,300,361
Tax %,,21%,26%,28%,24%
Net Profit +,0,122,193,217,272
EPS in Rs,,,21.35,23.93,30.05
Dividend Payout %,,0%,9%,13%,8%
