,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,756","1,610","1,685","1,668","1,656","1,414","1,454","1,732","1,773","1,855","1,628","1,843","1,949"
Expenses +,"1,417","1,326","1,418","1,379","1,403","1,214","1,221","1,473","1,489","1,550","1,431","1,608","1,681"
Operating Profit,339,284,267,289,253,200,233,259,284,305,197,235,268
OPM %,19%,18%,16%,17%,15%,14%,16%,15%,16%,16%,12%,13%,14%
Other Income +,0,0,0,0,0,0,0,8,-1,6,7,1,-3
Interest,31,45,44,47,33,40,58,54,59,64,62,85,64
Depreciation,77,72,73,82,84,89,93,97,98,102,108,111,113
Profit before tax,231,167,150,160,136,71,82,116,126,145,34,40,88
Tax %,16%,19%,17%,15%,-10%,1%,-11%,-7%,-5%,6%,-53%,-15%,-9%
Net Profit +,194,136,124,137,149,70,91,124,132,137,52,46,96
EPS in Rs,5.34,3.75,3.42,3.77,4.11,1.93,2.51,3.42,3.64,3.78,1.43,1.27,2.65
Raw PDF,,,,,,,,,,,,,
