,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,132,121,139,142,139,147,158,161,158,155,146,169,167
Expenses +,91,90,99,100,95,103,107,107,102,103,104,114,122
Operating Profit,40,31,40,42,44,44,51,54,55,51,42,55,46
OPM %,31%,26%,29%,29%,32%,30%,32%,33%,35%,33%,29%,33%,27%
Other Income +,3,2,4,9,7,7,6,14,-6,7,10,8,9
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,9,9,9,9,8,9,9,9,9,9,9,9,10
Profit before tax,34,24,34,40,42,41,48,59,40,49,42,53,43
Tax %,26%,26%,23%,31%,24%,29%,27%,28%,25%,28%,21%,27%,38%
Net Profit +,25,18,26,28,32,29,35,42,30,35,33,39,27
EPS in Rs,2.19,1.60,2.34,2.63,2.87,2.58,3.08,3.74,2.53,3.05,2.94,3.37,2.37
Raw PDF,,,,,,,,,,,,,
