,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,106,56,56,82,107,58,87,91,135,91,161,148,162
Expenses +,89,46,46,63,84,45,69,67,107,69,128,110,126
Operating Profit,16,10,10,20,23,13,18,24,29,22,33,38,36
OPM %,16%,18%,18%,24%,21%,22%,21%,26%,21%,25%,20%,26%,22%
Other Income +,0,0,0,-1,-1,0,0,0,1,1,1,1,1
Interest,5,4,4,6,8,8,7,7,8,8,7,9,11
Depreciation,2,3,3,3,3,3,3,3,3,3,4,4,4
Profit before tax,9,4,4,9,11,3,9,14,18,12,22,26,22
Tax %,10%,54%,54%,28%,36%,42%,25%,31%,29%,29%,30%,30%,36%
Net Profit +,8,2,2,7,7,2,7,10,13,8,16,18,14
EPS in Rs,0.38,0.08,0.08,0.32,0.35,0.08,0.28,0.35,0.46,0.28,0.51,0.60,0.46
Raw PDF,,,,,,,,,,,,,
