,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,144,120,192,197,234,253,224,227,290,327,268,284,355
Expenses +,80,98,104,103,107,113,118,125,149,156,153,154,171
Operating Profit,63,22,88,94,126,140,106,102,141,171,115,131,184
OPM %,44%,18%,46%,48%,54%,55%,47%,45%,49%,52%,43%,46%,52%
Other Income +,3,8,1,1,1,2,1,3,1,4,0,1,1
Interest,44,42,43,45,44,45,48,47,53,53,52,51,50
Depreciation,25,27,24,25,24,24,23,23,33,33,35,35,35
Profit before tax,-3,-39,21,25,59,73,36,35,56,89,29,45,100
Tax %,62%,-1%,34%,22%,18%,20%,24%,25%,21%,6%,31%,23%,20%
Net Profit +,-5,-39,14,19,49,59,28,26,44,84,20,35,80
EPS in Rs,-0.02,-0.31,0.17,0.21,0.50,0.56,0.30,0.29,0.45,0.85,0.25,0.37,0.79
Raw PDF,,,,,,,,,,,,,
