,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,281.50,735.33,245.50,242.48,307.71,381.01,427.14,396.92,416.32,445.69,554.10,369.55,510.87
Expenses +,204.88,742.50,219.54,237.50,321.30,352.39,349.67,377.46,350.40,471.35,413.98,462.15,453.59
Operating Profit,76.62,-7.17,25.96,4.98,-13.59,28.62,77.47,19.46,65.92,-25.66,140.12,-92.60,57.28
OPM %,27.22%,-0.98%,10.57%,2.05%,-4.42%,7.51%,18.14%,4.90%,15.83%,-5.76%,25.29%,-25.06%,11.21%
Other Income +,8.39,54.20,16.54,15.54,18.37,112.08,17.25,78.92,57.64,-3.64,6.87,266.08,8.72
Interest,36.52,131.76,25.66,48.32,5.67,81.00,43.86,41.88,13.69,43.46,31.53,36.54,38.35
Depreciation,8.34,19.39,6.66,7.72,1.88,14.89,6.11,0.89,13.91,46.97,13.71,8.49,28.48
Profit before tax,40.15,-104.12,10.18,-35.52,-2.77,44.81,44.75,55.61,95.96,-119.73,101.75,128.45,-0.83
Tax %,29.71%,-5.29%,46.46%,-12.95%,240.43%,29.88%,34.44%,9.62%,2.94%,-14.83%,29.73%,9.27%,800.00%
Net Profit +,28.22,-98.61,5.45,-30.92,-9.43,31.42,29.34,50.26,93.14,-101.97,71.50,116.54,-7.47
EPS in Rs,0.18,-0.64,0.04,-0.20,-0.06,0.20,0.19,0.33,0.60,-0.66,0.46,0.76,-0.05
Raw PDF,,,,,,,,,,,,,
