,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,510,554,539,476,489,480,557,520,513,593,620,629,644
Expenses +,410,449,430,380,378,393,426,418,431,508,504,532,552
Operating Profit,100,105,108,97,111,88,130,102,82,84,116,97,92
OPM %,20%,19%,20%,20%,23%,18%,23%,20%,16%,14%,19%,15%,14%
Other Income +,6,15,8,12,28,6,14,17,25,24,30,35,6
Interest,6,4,6,6,8,7,11,10,9,9,11,14,12
Depreciation,16,17,15,16,15,18,16,17,17,18,24,25,29
Profit before tax,84,99,95,87,115,68,118,92,81,81,111,93,58
Tax %,23%,27%,21%,24%,24%,26%,23%,24%,24%,29%,24%,23%,28%
Net Profit +,65,72,75,66,87,50,91,70,61,57,84,71,41
EPS in Rs,25.66,28.76,29.11,25.75,34.21,21.43,37.05,28.73,25.39,23.90,35.04,30.12,17.69
Raw PDF,,,,,,,,,,,,,
