,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,533,693,700,834,692,668,749,814,745,823,733,748,840
Expenses +,490,642,655,788,634,600,687,744,669,758,662,672,758
Operating Profit,43,51,45,46,58,68,62,70,76,65,72,75,82
OPM %,8%,7%,6%,6%,8%,10%,8%,9%,10%,8%,10%,10%,10%
Other Income +,4,7,11,16,8,2,12,6,6,16,7,6,7
Interest,19,21,22,25,22,23,28,30,31,26,27,28,31
Depreciation,13,15,16,16,16,17,16,17,18,16,17,17,17
Profit before tax,14,22,19,22,28,31,29,30,33,39,35,36,40
Tax %,24%,23%,25%,24%,23%,22%,26%,25%,23%,26%,25%,25%,23%
Net Profit +,11,17,14,16,21,24,22,22,25,29,26,27,30
EPS in Rs,0.75,1.16,1.00,1.24,1.58,1.73,1.62,1.67,1.88,2.12,1.96,1.99,2.26
Raw PDF,,,,,,,,,,,,,
