,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,170,155,226,199,199,178,262,200,219,151,308,255,288
Expenses +,138,125,176,166,160,144,201,161,177,124,244,208,236
Operating Profit,32,29,50,34,39,34,62,39,42,28,64,47,52
OPM %,19%,19%,22%,17%,20%,19%,24%,19%,19%,18%,21%,18%,18%
Other Income +,4,0,6,7,8,11,8,9,9,11,34,2,3
Interest,1,1,1,2,2,2,1,1,1,1,3,3,4
Depreciation,2,2,2,2,2,2,3,3,3,3,9,10,10
Profit before tax,33,26,52,36,42,41,66,44,48,35,86,36,41
Tax %,25%,18%,25%,25%,26%,18%,25%,25%,21%,28%,22%,27%,26%
Net Profit +,25,22,39,27,31,34,50,33,38,25,68,26,30
EPS in Rs,4.01,3.50,6.34,4.37,5.11,5.47,8.06,5.39,6.14,4.09,10.63,3.99,4.73
Raw PDF,,,,,,,,,,,,,
