,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,510,542,566,538,551,598,744,700,777,625,691,602,601
Expenses +,450,452,501,519,549,511,677,627,678,511,624,489,552
Operating Profit,60,90,65,19,2,87,67,74,99,114,67,113,49
OPM %,12%,17%,11%,4%,0%,15%,9%,11%,13%,18%,10%,19%,8%
Other Income +,2,14,5,5,21,7,13,6,36,13,11,6,-3
Interest,8,7,9,11,9,9,13,13,8,7,10,9,7
Depreciation,22,21,23,21,23,22,22,23,23,22,20,23,22
Profit before tax,32,77,37,-8,-9,64,46,45,104,98,48,87,18
Tax %,20%,23%,-14%,-151%,31%,14%,-8%,-8%,8%,16%,-5%,-14%,-73%
Net Profit +,25,60,43,4,-11,56,50,50,96,85,51,100,32
EPS in Rs,1.71,3.07,1.94,-0.40,-0.78,2.48,2.35,2.53,5.44,4.31,2.49,4.76,1.24
Raw PDF,,,,,,,,,,,,,
