,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,366,347,477,431,443,447,430,422,481,599,570,518,590
Expenses +,309,290,378,350,356,363,360,359,394,490,462,423,500
Operating Profit,56,57,99,82,87,84,71,62,87,109,108,95,90
OPM %,15%,16%,21%,19%,20%,19%,16%,15%,18%,18%,19%,18%,15%
Other Income +,5,2,2,3,3,2,5,15,5,10,9,6,23
Interest,18,17,20,23,25,22,25,22,25,23,22,22,25
Depreciation,27,26,42,32,34,27,24,28,27,22,23,21,25
Profit before tax,16,16,38,30,31,37,26,28,41,73,72,59,64
Tax %,27%,28%,25%,25%,26%,42%,27%,28%,27%,29%,26%,24%,18%
Net Profit +,12,11,28,22,23,22,19,20,30,52,53,45,52
EPS in Rs,1.77,1.68,4.20,3.27,3.37,3.19,2.81,2.70,3.85,6.12,6.31,5.27,6.15
Raw PDF,,,,,,,,,,,,,
