,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,140,144,131,135,159,156,135,142,177
Expenses +,90,99,91,91,103,102,97,100,114
Operating Profit,51,45,40,44,56,54,39,42,63
OPM %,36%,31%,30%,33%,35%,34%,29%,29%,36%
Other Income +,2,-1,0,7,5,0,3,15,1
Interest,19,12,16,17,18,15,3,4,4
Depreciation,9,16,12,12,14,13,14,14,15
Profit before tax,25,15,12,21,29,26,25,39,45
Tax %,24%,29%,33%,31%,4%,30%,108%,31%,29%
Net Profit +,19,11,8,15,27,18,-2,27,32
EPS in Rs,1.07,0.61,0.46,0.85,1.57,0.86,-0.09,1.25,1.51
Raw PDF,,,,,,,,,
