,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,441","3,026","2,387","2,248","2,670","2,928","3,259","2,543","2,756","2,879","3,238","2,439","3,189"
Expenses +,"1,309","2,004","1,498","1,623","1,931","1,706","1,379","1,432","1,587","1,462","1,553","1,525","1,985"
Operating Profit,"1,132","1,022",890,625,739,"1,222","1,880","1,111","1,169","1,418","1,685",914,"1,204"
OPM %,46%,34%,37%,28%,28%,42%,58%,44%,42%,49%,52%,37%,38%
Other Income +,215,212,214,119,136,87,134,120,130,167,230,206,313
Interest,100,193,204,214,233,486,514,521,533,511,518,564,675
Depreciation,277,289,294,295,291,398,409,400,427,375,392,406,482
Profit before tax,969,753,605,235,351,426,"1,092",310,339,698,"1,005",150,361
Tax %,9%,26%,24%,20%,20%,32%,22%,25%,-2%,24%,13%,-5%,-15%
Net Profit +,877,555,457,187,282,290,857,232,345,534,877,157,415
EPS in Rs,5.26,3.41,2.83,1.09,1.65,1.76,5.17,1.41,2.14,2.99,4.88,0.96,2.33
Raw PDF,,,,,,,,,,,,,
