,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,004","1,490","2,054","2,437","2,551"
Expenses +,979,"1,394","1,943","2,195","2,282"
Operating Profit,25,97,112,242,268
OPM %,2%,6%,5%,10%,11%
Other Income +,26,-3,36,18,31
Interest,104,95,105,141,161
Depreciation,229,234,284,356,371
Profit before tax,-282,-235,-242,-237,-233
Tax %,0%,0%,0%,0%,0%
Net Profit +,-282,-235,-242,-237,-233
EPS in Rs,-6.42,-3.98,-4.47,-4.39,-3.71
Dividend Payout %,0%,0%,0%,0%,0%
