,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,870","1,680","1,438","1,641","1,573","1,494","1,798","1,835","1,682","1,743","1,713","1,667","1,864"
Expenses +,"1,532","1,418","1,297","1,367","1,305","1,262","1,557","1,572","1,477","1,517","1,487","1,453","1,619"
Operating Profit,338,262,141,274,269,231,240,263,205,225,226,214,245
OPM %,18%,16%,10%,17%,17%,15%,13%,14%,12%,13%,13%,13%,13%
Other Income +,7,5,5,8,7,11,15,14,18,15,11,15,19
Interest,19,19,20,19,22,32,35,40,49,47,46,35,3
Depreciation,81,76,78,78,80,89,89,90,96,92,92,93,90
Profit before tax,244,172,48,186,173,122,130,146,78,102,99,102,172
Tax %,26%,25%,22%,22%,24%,25%,31%,25%,24%,28%,16%,21%,22%
Net Profit +,181,129,37,144,131,91,90,109,59,74,83,80,133
EPS in Rs,0.36,0.25,0.07,0.28,0.25,0.18,0.18,0.21,0.11,0.14,0.16,0.16,0.26
Raw PDF,,,,,,,,,,,,,
