,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,290,244,276,297,396,268,377,340,507,340,353,409,536
Expenses +,221,198,222,230,294,229,296,284,368,276,319,318,386
Operating Profit,69,46,54,67,103,39,82,56,139,64,34,91,150
OPM %,24%,19%,20%,23%,26%,15%,22%,16%,27%,19%,10%,22%,28%
Other Income +,13,-2,8,12,8,9,4,7,6,13,15,12,7
Interest,8,5,5,5,3,8,9,8,7,7,7,6,7
Depreciation,9,9,10,10,12,14,14,14,22,23,27,26,26
Profit before tax,65,30,47,64,96,27,63,42,115,48,16,72,124
Tax %,25%,23%,25%,24%,19%,20%,25%,15%,22%,23%,54%,24%,18%
Net Profit +,49,23,35,48,77,21,47,36,89,37,7,54,102
EPS in Rs,7.37,3.48,5.33,7.30,11.64,3.22,7.13,5.36,13.45,5.52,1.09,8.15,15.32
Raw PDF,,,,,,,,,,,,,
