,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,899","2,435","2,864","4,398","3,644","3,054","3,683","2,595","2,243","2,377","3,844","4,105","3,494"
Expenses +,"1,806","2,277","2,682","4,027","3,553","3,093","3,427","2,313","2,095","2,231","3,418","3,769","3,147"
Operating Profit,92,157,181,371,91,-39,256,282,148,146,425,336,347
OPM %,5%,6%,6%,8%,2%,-1%,7%,11%,7%,6%,11%,8%,10%
Other Income +,26,10,6,6,70,19,11,9,31,19,15,35,42
Interest,42,51,73,87,80,92,96,82,95,91,82,86,103
Depreciation,23,31,47,47,50,47,51,55,58,61,63,65,63
Profit before tax,52,85,68,242,31,-159,120,154,26,13,296,220,223
Tax %,32%,26%,25%,26%,67%,-25%,26%,29%,18%,59%,23%,28%,28%
Net Profit +,36,63,51,180,10,-120,89,109,22,5,228,159,160
EPS in Rs,0.62,0.77,0.63,2.21,0.12,-1.47,1.10,1.34,0.26,0.07,2.79,1.95,1.96
Raw PDF,,,,,,,,,,,,,
