,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,016","1,025",742,880,881,"1,042",922,930,924,"1,222",900,842,"1,018"
Expenses +,614,562,471,481,534,506,563,520,542,632,487,393,637
Operating Profit,403,463,271,399,347,536,359,410,382,590,414,450,382
OPM %,40%,45%,37%,45%,39%,51%,39%,44%,41%,48%,46%,53%,37%
Other Income +,174,89,141,142,117,37,40,180,27,36,45,32,37
Interest,83,89,108,110,91,80,95,46,53,9,7,6,5
Depreciation,76,75,75,78,78,78,78,81,82,86,88,88,90
Profit before tax,417,387,230,353,295,416,226,464,274,531,363,388,324
Tax %,14%,12%,22%,-3%,-16%,18%,15%,-0%,7%,16%,9%,9%,7%
Net Profit +,360,339,178,363,341,343,193,465,255,446,332,353,303
EPS in Rs,9.39,10.29,4.73,8.44,8.50,9.00,5.11,11.31,7.11,12.26,8.65,8.63,8.08
Raw PDF,,,,,,,,,,,,,
