,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,160,188,208,221,232,258,292,318
Expenses +,112,137,148,153,165,179,192,210
Operating Profit,48,51,60,67,67,79,100,107
OPM %,30%,27%,29%,31%,29%,31%,34%,34%
Other Income +,5,5,7,5,9,10,34,15
Interest,21,21,23,25,24,28,30,35
Depreciation,46,43,48,54,51,58,65,72
Profit before tax,-14,-8,-4,-6,1,3,39,15
Tax %,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-14,-8,-4,-6,1,3,39,15
EPS in Rs,,,,,,0.40,5.51,2.14
Raw PDF,,,,,,,,
