,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,137,146,155,168,191,199,211,231,247,262,278,306,327
Expenses +,107,113,120,131,150,155,165,180,194,206,222,242,261
Operating Profit,30,33,34,37,40,44,46,51,53,56,56,64,66
OPM %,22%,22%,22%,22%,21%,22%,22%,22%,21%,21%,20%,21%,20%
Other Income +,3,1,0,0,3,3,2,2,1,7,5,4,4
Interest,2,2,2,3,4,3,3,3,4,2,1,2,2
Depreciation,3,4,4,4,4,5,5,5,6,6,7,7,10
Profit before tax,28,28,29,30,35,38,41,45,45,54,53,59,59
Tax %,23%,15%,13%,14%,25%,17%,16%,16%,12%,18%,14%,19%,14%
Net Profit +,22,24,25,26,27,32,34,38,39,45,46,48,51
EPS in Rs,4.16,5.16,5.20,5.48,5.50,6.98,7.27,7.57,7.49,7.87,8.16,8.57,9.12
Raw PDF,,,,,,,,,,,,,
