,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,358,314,573,638,"1,375",851,862,"1,084","1,290",833,953,"1,037","1,231"
Expenses +,325,277,539,580,"1,247",780,802,"1,008","1,202",784,905,972,"1,143"
Operating Profit,33,37,34,58,128,71,60,75,88,49,48,65,88
OPM %,9%,12%,6%,9%,9%,8%,7%,7%,7%,6%,5%,6%,7%
Other Income +,60,31,9,1,40,33,28,46,87,15,12,19,98
Interest,13,13,18,16,26,20,22,23,24,18,24,26,33
Depreciation,4,4,4,5,5,5,6,7,6,6,6,6,6
Profit before tax,75,51,21,38,137,79,61,92,145,40,30,52,148
Tax %,25%,25%,16%,25%,26%,25%,23%,25%,25%,26%,19%,25%,26%
Net Profit +,56,38,18,28,101,59,47,69,108,29,24,39,110
EPS in Rs,47.31,32.23,14.80,23.86,85.49,49.65,39.45,58.02,91.43,24.85,20.56,32.98,92.77
Raw PDF,,,,,,,,,,,,,
