,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"2,320.63","2,255.59","1,511.34",545.48,763.16,708.20,214.47,-210.50,0.73,0.64,0.65,1.56,0.25
Expenses +,"2,340.01","1,743.07","1,531.86",581.36,797.07,729.39,277.48,-180.14,37.10,33.43,51.27,31.80,30.81
Operating Profit,-19.38,512.52,-20.52,-35.88,-33.91,-21.19,-63.01,-30.36,-36.37,-32.79,-50.62,-30.24,-30.56
OPM %,-0.84%,22.72%,-1.36%,-6.58%,-4.44%,-2.99%,-29.38%,,"-4,982.19%","-5,123.44%","-7,787.69%","-1,938.46%","-12,224.00%"
Other Income +,0.21,27.27,11.89,"1,896.09",51.50,44.23,83.13,85.77,95.42,103.27,95.04,80.66,39.33
Interest,53.17,57.26,111.59,9.70,-7.29,6.82,0.47,1.07,-0.98,0.15,0.10,0.12,0.55
Depreciation,1.35,1.38,1.29,1.29,1.31,1.40,1.19,0.83,0.98,1.35,1.01,1.01,1.00
Profit before tax,-73.69,481.15,-121.51,"1,849.22",23.57,14.82,18.46,53.51,59.05,68.98,43.31,49.29,7.22
Tax %,0.28%,75.40%,0.27%,14.74%,-313.87%,33.54%,20.59%,2.75%,5.66%,-1.16%,24.52%,2.52%,49.31%
Net Profit +,-73.90,118.38,-121.84,"1,576.71",97.55,9.85,14.66,52.04,55.71,69.78,32.69,48.05,3.66
EPS in Rs,-0.49,0.79,-0.81,10.51,0.65,0.07,0.10,0.35,0.37,0.47,0.22,0.32,0.02
Raw PDF,,,,,,,,,,,,,
