,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,326,305,320,312,317,293,312,296
Expenses +,272,258,270,266,272,260,275,268
Operating Profit,54,46,50,46,45,33,37,29
OPM %,17%,15%,16%,15%,14%,11%,12%,10%
Other Income +,2,1,2,2,2,2,2,3
Interest,1,0,0,0,0,0,0,0
Depreciation,4,5,5,5,5,5,5,5
Profit before tax,51,43,47,42,42,30,34,26
Tax %,24%,25%,25%,24%,24%,25%,26%,26%
Net Profit +,38,32,36,32,32,22,25,19
EPS in Rs,10.04,8.44,9.28,8.40,8.24,5.82,6.50,5.00
Raw PDF,,,,,,,,
