,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,396","1,596","1,247","1,513","1,597","2,043","1,386","1,473","1,493","1,868","1,540","1,644","1,497"
Expenses +,"1,289","1,490","1,175","1,422","1,469","1,878","1,282","1,340","1,369","1,730","1,415","1,505","1,378"
Operating Profit,107,106,72,91,128,164,104,134,123,138,125,139,118
OPM %,8%,7%,6%,6%,8%,8%,7%,9%,8%,7%,8%,8%,8%
Other Income +,7,1,4,3,1,6,13,4,5,4,9,24,4
Interest,11,32,20,18,17,17,19,20,13,11,11,8,20
Depreciation,26,27,25,26,26,27,25,26,27,28,26,27,51
Profit before tax,78,48,30,49,85,126,72,91,89,102,96,128,52
Tax %,33%,19%,40%,42%,23%,26%,27%,30%,25%,30%,30%,25%,56%
Net Profit +,52,39,18,28,66,93,53,64,67,72,67,96,23
EPS in Rs,6.40,5.12,2.42,4.02,8.56,11.71,6.89,8.13,8.42,9.70,8.90,12.59,2.73
Raw PDF,,,,,,,,,,,,,
