,Mar 2024,Dec 2024,Mar 2025
Revenue +,"1,391","1,698","1,905"
Interest,847,"1,032","1,104"
Expenses +,56,119,171
Financing Profit,488,548,630
Financing Margin %,35%,32%,33%
Other Income +,0,1,11
Depreciation,9,10,11
Profit before tax,480,538,630
Tax %,30%,21%,20%
Net Profit +,337,425,502
EPS in Rs,1.26,1.58,1.87
Gross NPA %,,,
Net NPA %,,,
Raw PDF,,,
