,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"17,302","16,803","19,051","21,674","21,849","21,187","22,220","23,505","22,433","21,282","24,896","26,716","26,440"
Expenses +,"16,811","16,341","18,518","21,093","21,305","20,768","21,739","22,988","21,974","20,911","24,437","26,114","25,843"
Operating Profit,491,462,532,581,543,419,481,517,459,371,458,602,597
OPM %,3%,3%,3%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%
Other Income +,23,25,30,40,46,64,76,45,79,53,57,48,696
Interest,33,37,54,88,92,88,106,85,106,81,84,84,82
Depreciation,37,36,37,39,43,42,44,43,52,51,49,54,63
Profit before tax,444,414,471,494,455,352,408,434,381,292,381,513,"1,148"
Tax %,20%,21%,17%,21%,28%,27%,24%,20%,15%,26%,26%,21%,20%
Net Profit +,356,326,392,393,328,255,312,348,324,217,283,403,918
EPS in Rs,4.45,4.04,4.95,4.86,3.97,3.18,3.88,4.36,4.16,3.15,3.75,5.12,8.51
Raw PDF,,,,,,,,,,,,,
