,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,287,293,313,273,302,254,278,285,306,337,387,398,344
Expenses +,254,266,278,241,268,229,253,245,258,289,332,341,293
Operating Profit,33,27,35,32,34,26,25,40,47,48,55,57,51
OPM %,11%,9%,11%,12%,11%,10%,9%,14%,15%,14%,14%,14%,15%
Other Income +,27,1,2,7,4,3,3,4,4,4,4,5,5
Interest,2,3,3,4,7,11,12,13,9,8,10,11,10
Depreciation,7,7,7,7,9,12,12,12,12,13,14,14,14
Profit before tax,50,18,27,28,22,5,4,19,31,30,36,37,32
Tax %,12%,28%,26%,25%,29%,29%,38%,33%,29%,25%,25%,20%,27%
Net Profit +,44,13,20,21,15,3,3,13,22,23,27,30,24
EPS in Rs,20.21,6.08,9.02,9.67,7.05,1.58,1.28,5.83,8.52,8.90,10.70,11.72,9.33
Raw PDF,,,,,,,,,,,,,
