,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,568,607,644,787
Expenses +,485,514,526,611
Operating Profit,82,93,118,176
OPM %,15%,15%,18%,22%
Other Income +,9,4,6,2
Interest,18,19,19,17
Depreciation,27,33,36,42
Profit before tax,47,45,70,119
Tax %,24%,22%,18%,22%
Net Profit +,35,35,57,93
EPS in Rs,7.68,7.66,12.49,20.26
Dividend Payout %,0%,0%,8%,10%
