,Sep 2023,Mar 2024,Sep 2024
Sales +,64,319,360
Expenses +,53,249,284
Operating Profit,11,69,75
OPM %,18%,22%,21%
Other Income +,1,2,3
Interest,3,3,8
Depreciation,1,1,3
Profit before tax,9,67,67
Tax %,33%,28%,28%
Net Profit +,6,49,49
EPS in Rs,2.99,25.35,23.92
Raw PDF,,,
