,Sep 2023,Dec 2023,Jun 2024,Sep 2024,Dec 2024
Sales +,746,780,781,742,743
Expenses +,694,720,705,684,685
Operating Profit,52,61,76,58,58
OPM %,7%,8%,10%,8%,8%
Other Income +,6,2,7,4,5
Interest,5,6,5,5,5
Depreciation,11,11,11,11,12
Profit before tax,41,45,67,45,47
Tax %,26%,23%,25%,28%,27%
Net Profit +,30,34,50,33,34
EPS in Rs,4.20,4.76,6.96,4.53,4.05
Raw PDF,,,,,
