,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,141,178,194,161,166,232,263,218,246,242,197,221,210
Expenses +,39,91,54,49,48,110,135,69,97,88,46,54,57
Operating Profit,102,88,141,111,118,122,129,149,149,154,152,167,153
OPM %,72%,49%,72%,69%,71%,53%,49%,68%,61%,64%,77%,76%,73%
Other Income +,3,9,1,5,12,5,4,5,5,5,5,6,7
Interest,42,40,43,44,45,51,38,36,35,32,32,30,28
Depreciation,14,13,14,14,15,15,15,16,17,18,18,18,18
Profit before tax,49,43,85,58,71,61,80,102,101,109,108,126,114
Tax %,6%,11%,4%,4%,6%,13%,24%,15%,25%,27%,26%,28%,26%
Net Profit +,46,38,81,55,67,53,61,87,76,80,79,91,84
EPS in Rs,6.00,5.67,9.94,7.14,8.49,7.43,8.02,11.26,9.90,9.90,9.81,10.38,9.20
Raw PDF,,,,,,,,,,,,,
