,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,250,254,246,306,251,275,248,292,252,295,245,391,359
Expenses +,212,209,203,268,229,235,212,246,218,254,212,342,308
Operating Profit,39,45,43,38,22,40,36,47,34,41,33,50,51
OPM %,15%,18%,17%,12%,9%,14%,15%,16%,14%,14%,13%,13%,14%
Other Income +,4,5,7,9,8,2,4,6,5,2,3,2,3
Interest,4,4,5,8,2,7,6,4,5,3,5,11,8
Depreciation,9,9,10,8,9,9,9,10,9,9,10,11,12
Profit before tax,30,37,35,30,19,25,25,38,24,30,21,30,34
Tax %,18%,31%,27%,25%,32%,19%,40%,26%,28%,5%,12%,28%,29%
Net Profit +,25,25,26,23,13,21,15,29,18,28,18,22,24
EPS in Rs,9.59,9.80,10.06,8.92,5.28,8.21,5.98,11.38,7.03,11.35,7.20,8.75,9.64
Raw PDF,,,,,,,,,,,,,
