,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,525,518,954,"1,100","1,202","1,705"
Expenses +,447,439,821,949,"1,024","1,433"
Operating Profit,78,80,133,151,178,271
OPM %,15%,15%,14%,14%,15%,16%
Other Income +,4,19,16,18,48,39
Interest,34,30,40,45,50,68
Depreciation,27,30,39,45,54,81
Profit before tax,20,39,71,80,122,162
Tax %,14%,25%,26%,26%,26%,24%
Net Profit +,17,29,52,59,90,122
EPS in Rs,5.34,8.97,16.18,18.36,28.14,32.48
Dividend Payout %,0%,0%,13%,15%,5%,5%
