,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,829,"1,551","2,188","1,929","2,550"
Expenses +,567,"1,041","1,499","1,448","1,839"
Operating Profit,261,509,689,481,711
OPM %,32%,33%,31%,25%,28%
Other Income +,2,4,8,7,16
Interest,29,44,66,73,53
Depreciation,74,86,109,124,133
Profit before tax,161,383,522,291,541
Tax %,37%,34%,32%,33%,34%
Net Profit +,101,253,353,196,358
EPS in Rs,24.48,60.84,85.03,47.14,82.91
Dividend Payout %,0%,0%,6%,11%,7%
