,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"18,853","18,532","19,336","19,639","20,061","21,009","22,391","23,572","24,141","24,717","25,722","26,798","29,265"
Interest,"10,926","10,837","11,413","12,129","12,637","13,670","14,313","14,827","15,154","15,519","16,006","16,562","16,584"
Expenses +,"2,493","2,184","1,316",900,-339,-65,-551,791,-589,311,367,429,"2,131"
Financing Profit,"5,435","5,511","6,608","6,610","7,763","7,404","8,629","7,954","9,577","8,886","9,348","9,807","10,550"
Financing Margin %,29%,30%,34%,34%,39%,35%,39%,34%,40%,36%,36%,37%,36%
Other Income +,20,12,8,24,13,9,13,22,35,20,33,24,20
Depreciation,10,12,12,14,14,12,13,14,15,12,13,15,16
Profit before tax,"5,446","5,511","6,604","6,619","7,762","7,401","8,629","7,961","9,597","8,894","9,368","9,816","10,554"
Tax %,21%,17%,21%,21%,21%,19%,23%,21%,21%,19%,23%,21%,21%
Net Profit +,"4,296","4,580","5,229","5,241","6,129","5,982","6,628","6,294","7,556","7,182","7,215","7,760","8,358"
EPS in Rs,9.71,10.35,11.92,11.70,14.17,13.87,14.65,14.33,17.04,16.80,16.07,17.66,19.14
Gross NPA %,5.02%,5.02%,4.38%,3.91%,3.66%,3.54%,3.40%,3.13%,3.02%,2.97%,2.62%,2.30%,1.64%
Net NPA %,1.60%,1.57%,1.27%,1.15%,1.03%,1.00%,0.98%,0.86%,0.85%,0.84%,0.80%,0.73%,0.38%
Raw PDF,,,,,,,,,,,,,
