,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,276,330,342,362,378,393,371,406,364,401,406,463,480
Expenses +,235,283,288,304,318,329,310,341,309,330,334,386,409
Operating Profit,42,47,54,58,60,64,61,65,55,70,71,77,71
OPM %,15%,14%,16%,16%,16%,16%,17%,16%,15%,18%,18%,17%,15%
Other Income +,2,1,4,20,2,2,1,3,7,1,2,1,12
Interest,9,10,11,11,12,13,14,13,15,14,13,14,15
Depreciation,14,15,16,16,16,17,16,18,18,19,19,19,19
Profit before tax,20,23,32,50,34,36,32,37,28,38,41,45,48
Tax %,32%,29%,29%,21%,29%,32%,26%,22%,31%,23%,23%,20%,22%
Net Profit +,14,16,22,40,24,24,24,28,19,29,32,36,38
EPS in Rs,15.24,18.57,24.98,43.48,26.88,26.71,26.13,31.21,21.14,31.90,34.86,39.05,41.46
Raw PDF,,,,,,,,,,,,,
