,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,559,521,578,581,523,539,600,600,607,571,661,677,669
Expenses +,454,436,476,474,434,452,496,494,506,482,551,563,567
Operating Profit,105,85,102,107,89,87,104,107,101,89,110,114,102
OPM %,19%,16%,18%,18%,17%,16%,17%,18%,17%,16%,17%,17%,15%
Other Income +,8,13,6,7,16,7,17,12,16,21,17,12,28
Interest,3,1,1,2,2,2,2,2,3,2,2,2,3
Depreciation,21,20,20,20,20,18,18,20,21,21,22,24,25
Profit before tax,90,77,87,93,83,74,101,97,93,87,103,99,102
Tax %,29%,24%,23%,22%,34%,25%,25%,25%,27%,25%,25%,24%,18%
Net Profit +,64,58,67,72,55,55,75,73,68,65,78,75,84
EPS in Rs,20.24,18.57,21.37,22.98,17.33,17.66,24.05,23.11,21.62,20.78,24.31,23.61,26.35
Raw PDF,,,,,,,,,,,,,
