,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,716,462,427,510,932,656,431,600,768,421,404,474,421
Expenses +,650,392,392,442,835,553,387,508,649,370,375,406,360
Operating Profit,65,70,35,68,98,103,44,92,119,51,29,67,61
OPM %,9%,15%,8%,13%,10%,16%,10%,15%,16%,12%,7%,14%,15%
Other Income +,1,2,34,2,2,2,1,2,2,2,1,2,1
Interest,8,9,13,13,13,10,10,7,7,8,6,2,4
Depreciation,15,22,18,19,19,18,14,14,14,15,14,14,14
Profit before tax,44,41,38,38,68,76,20,73,100,31,10,53,45
Tax %,33%,41%,33%,29%,40%,35%,33%,33%,32%,30%,35%,35%,35%
Net Profit +,30,24,26,27,41,50,14,49,68,22,6,34,29
EPS in Rs,23.56,19.36,20.49,21.48,32.58,39.81,10.84,38.92,54.28,17.41,5.13,27.33,22.98
Raw PDF,,,,,,,,,,,,,
