,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,561,611,657,710,764,824,871,901,927,931,962,986,999
Interest,319,356,401,453,491,533,548,566,584,603,616,636,634
Expenses +,76,35,50,49,72,54,122,77,70,71,70,78,82
Financing Profit,166,220,206,208,201,236,201,258,273,258,277,272,282
Financing Margin %,30%,36%,31%,29%,26%,29%,23%,29%,29%,28%,29%,28%,28%
Other Income +,0,0,0,0,1,0,0,1,1,0,0,0,1
Depreciation,2,2,3,3,4,3,3,3,4,3,3,3,4
Profit before tax,164,219,203,205,198,234,198,256,270,255,274,269,279
Tax %,25%,26%,30%,26%,16%,22%,20%,22%,23%,22%,23%,21%,16%
Net Profit +,123,162,142,151,166,183,158,200,209,200,211,212,234
EPS in Rs,9.23,12.18,10.64,11.38,12.45,13.78,11.87,15.03,15.70,14.99,15.88,15.93,17.57
Gross NPA %,0.64%,0.65%,0.62%,0.60%,0.55%,0.63%,0.76%,0.91%,0.82%,0.91%,0.88%,0.92%,0.87%
Net NPA %,0.30%,0.30%,0.35%,0.30%,0.26%,0.34%,0.43%,0.49%,0.42%,0.49%,0.47%,0.50%,0.46%
Raw PDF,,,,,,,,,,,,,
