,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,594,614,654,682,698,674,709,737,768,727,799,825,809
Expenses +,479,523,561,578,584,572,617,642,663,640,666,659,622
Operating Profit,115,91,93,103,114,102,92,94,105,87,133,166,187
OPM %,19%,15%,14%,15%,16%,15%,13%,13%,14%,12%,17%,20%,23%
Other Income +,11,16,3,16,137,9,6,2,4,15,2,6,3
Interest,12,12,14,15,13,16,19,21,22,23,22,24,26
Depreciation,41,33,38,42,45,49,52,57,58,62,64,65,64
Profit before tax,73,62,44,62,192,46,27,19,29,18,49,83,100
Tax %,23%,20%,28%,21%,-0%,26%,28%,27%,26%,24%,27%,29%,25%
Net Profit +,56,49,31,49,193,34,20,14,22,13,36,59,74
EPS in Rs,6.36,5.59,3.56,5.57,21.87,3.88,2.25,1.56,2.46,1.54,4.10,6.79,8.49
Raw PDF,,,,,,,,,,,,,
