,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,19.92,13.18,13.35,14.65,18.84,24.62,18.26,26.00,37.16,30.42,33.24,37.98,46.02
Expenses +,14.64,10.80,10.85,11.96,16.23,20.56,14.40,20.62,30.57,24.27,26.36,30.15,38.06
Operating Profit,5.28,2.38,2.50,2.69,2.61,4.06,3.86,5.38,6.59,6.15,6.88,7.83,7.96
OPM %,26.51%,18.06%,18.73%,18.36%,13.85%,16.49%,21.14%,20.69%,17.73%,20.22%,20.70%,20.62%,17.30%
Other Income +,0.92,0.82,0.73,0.65,0.83,0.99,3.03,1.28,1.24,1.15,1.30,1.31,2.27
Interest,0.10,0.06,0.04,0.06,0.12,0.04,0.02,0.08,0.06,0.04,0.05,0.02,0.15
Depreciation,0.18,0.19,0.19,0.19,0.20,0.23,0.16,0.26,0.21,0.21,0.25,0.29,0.32
Profit before tax,5.92,2.95,3.00,3.09,3.12,4.78,6.71,6.32,7.56,7.05,7.88,8.83,9.76
Tax %,27.03%,25.42%,29.33%,28.48%,34.29%,25.31%,25.19%,25.32%,19.97%,25.25%,21.45%,19.14%,19.06%
Net Profit +,4.32,2.20,2.11,2.20,2.05,3.57,5.01,4.73,6.05,5.27,6.18,7.14,7.91
EPS in Rs,2.04,1.04,1.00,1.04,0.97,1.69,2.37,2.24,2.85,2.49,2.92,3.37,3.73
Raw PDF,,,,,,,,,,,,,
