,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,7.73,6.17,6.59,9.18,9.93,7.57,7.15,7.45,8.19,9.14,10.12,8.97,12.38
Expenses +,3.95,2.15,2.10,4.04,4.90,2.06,2.25,3.14,3.71,4.10,3.46,3.09,4.13
Operating Profit,3.78,4.02,4.49,5.14,5.03,5.51,4.90,4.31,4.48,5.04,6.66,5.88,8.25
OPM %,48.90%,65.15%,68.13%,55.99%,50.65%,72.79%,68.53%,57.85%,54.70%,55.14%,65.81%,65.55%,66.64%
Other Income +,-0.70,-0.24,0.71,0.27,0.18,0.16,0.05,0.05,0.25,0.17,0.30,0.52,0.54
Interest,0.19,0.21,0.18,0.15,0.13,0.15,0.11,0.11,0.12,0.11,0.10,0.10,0.10
Depreciation,0.81,0.66,0.67,0.77,0.86,0.88,0.93,0.95,0.95,0.88,0.89,0.89,0.86
Profit before tax,2.08,2.91,4.35,4.49,4.22,4.64,3.91,3.30,3.66,4.22,5.97,5.41,7.83
Tax %,71.15%,36.77%,23.91%,34.08%,31.52%,25.86%,31.46%,24.24%,30.87%,17.77%,31.32%,18.67%,21.84%
Net Profit +,0.60,1.83,3.31,2.97,2.88,3.44,2.67,2.50,2.52,3.46,4.09,4.40,6.12
EPS in Rs,0.24,0.73,1.33,1.19,1.16,1.38,1.07,1.00,0.99,1.36,1.60,1.73,2.40
Raw PDF,,,,,,,,,,,,,
