,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,51.06,32.04,40.16,86.31,115.31,79.57,85.93,52.01,136.17,112.19,199.67,216.30,146.28
Expenses +,48.24,30.69,37.83,80.24,110.95,72.69,80.62,48.98,130.60,103.90,180.77,200.10,134.08
Operating Profit,2.82,1.35,2.33,6.07,4.36,6.88,5.31,3.03,5.57,8.29,18.90,16.20,12.20
OPM %,5.52%,4.21%,5.80%,7.03%,3.78%,8.65%,6.18%,5.83%,4.09%,7.39%,9.47%,7.49%,8.34%
Other Income +,-0.01,0.03,0.08,0.05,4.67,0.25,0.66,0.19,0.48,0.25,0.40,0.53,1.18
Interest,0.53,0.48,0.63,0.55,0.72,0.93,1.07,0.61,0.55,1.43,2.48,2.38,0.98
Depreciation,0.51,0.43,0.73,0.38,0.59,0.71,0.73,0.75,0.86,0.96,1.49,1.52,1.90
Profit before tax,1.77,0.47,1.05,5.19,7.72,5.49,4.17,1.86,4.64,6.15,15.33,12.83,10.50
Tax %,25.99%,25.53%,24.76%,25.43%,21.63%,25.14%,25.18%,39.78%,25.65%,26.99%,26.68%,28.29%,26.57%
Net Profit +,1.31,0.36,0.78,3.87,6.06,4.10,3.13,1.11,3.46,4.49,11.25,9.19,7.72
EPS in Rs,0.07,0.02,0.04,0.18,0.28,0.19,0.15,0.05,0.16,0.20,0.51,0.41,0.35
Raw PDF,,,,,,,,,,,,,
