,Mar 2023,Mar 2024,TTM
Sales +,"1,241","1,254","1,218"
Expenses +,"1,047","1,067","1,075"
Operating Profit,194,187,143
OPM %,16%,15%,12%
Other Income +,7,7,9
Interest,2,1,1
Depreciation,15,19,21
Profit before tax,185,174,131
Tax %,25%,24%,
Net Profit +,139,132,98
EPS in Rs,36.35,34.34,25.56
Dividend Payout %,22%,17%,
