,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,369,323,332,295,310,260,349,487
Expenses +,47,34,54,94,38,39,42,51
Operating Profit,322,290,277,201,272,221,307,436
OPM %,87%,90%,84%,68%,88%,85%,88%,90%
Other Income +,65,73,39,719,30,36,45,38
Interest,188,200,202,177,196,178,179,206
Depreciation,77,86,85,61,56,60,70,102
Profit before tax,122,77,29,681,50,18,103,166
Tax %,33%,50%,-55%,22%,97%,16%,-8%,27%
Net Profit +,82,39,44,532,1,15,112,122
EPS in Rs,7.88,3.70,4.26,50.97,0.03,0.29,1.85,2.04
Raw PDF,,,,,,,,
