,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,25.96,26.53,29.31,32.74,45.27
Expenses +,21.41,22.89,23.60,24.41,37.02
Operating Profit,4.55,3.64,5.71,8.33,8.25
OPM %,17.53%,13.72%,19.48%,25.44%,18.22%
Other Income +,1.70,1.19,1.29,1.50,1.06
Interest,0.15,0.17,0.14,0.13,0.15
Depreciation,0.89,0.86,0.85,1.14,4.36
Profit before tax,5.21,3.80,6.01,8.56,4.80
Tax %,25.72%,24.21%,25.62%,26.52%,30.21%
Net Profit +,3.88,2.88,4.47,6.29,3.35
EPS in Rs,0.66,0.49,0.44,0.62,0.33
Raw PDF,,,,,
