,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024
Sales +,142,55,98,123,129,126,132,137,198,162
Expenses +,126,48,84,109,118,114,116,118,171,142
Operating Profit,16,7,14,15,12,12,16,18,27,21
OPM %,11%,12%,14%,12%,9%,10%,12%,13%,14%,13%
Other Income +,0,0,0,0,0,0,0,0,0,0
Interest,3,3,3,4,4,4,3,4,5,5
Depreciation,6,3,3,4,4,4,5,5,4,4
Profit before tax,6,1,8,7,4,4,8,10,17,13
Tax %,28%,27%,28%,28%,28%,28%,28%,29%,27%,28%
Net Profit +,5,0,6,5,3,3,6,7,13,9
EPS in Rs,3.10,0.27,3.64,3.36,1.71,1.81,3.78,4.70,8.08,5.84
Raw PDF,,,,,,,,,,
