,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,17.52,20.59,15.35,1.52,11.10,15.86,3.46,19.96,12.06,31.43,66.98,67.64,79.14
Expenses +,41.72,53.75,32.00,14.77,23.94,29.35,21.54,31.53,30.32,59.61,71.72,65.27,76.50
Operating Profit,-24.20,-33.16,-16.65,-13.25,-12.84,-13.49,-18.08,-11.57,-18.26,-28.18,-4.74,2.37,2.64
OPM %,-138.13%,-161.05%,-108.47%,-871.71%,-115.68%,-85.06%,-522.54%,-57.97%,-151.41%,-89.66%,-7.08%,3.50%,3.34%
Other Income +,0.30,-251.25,4.52,2.48,1.06,-1.36,28.95,0.37,140.47,134.92,9.74,4.88,3.84
Interest,9.75,7.65,9.31,9.45,9.11,8.37,9.43,9.01,2.19,5.24,6.22,7.88,8.23
Depreciation,2.46,2.50,2.33,2.35,2.25,2.02,1.97,1.73,1.72,1.68,1.71,1.73,1.76
Profit before tax,-36.11,-294.56,-23.77,-22.57,-23.14,-25.24,-0.53,-21.94,118.30,99.82,-2.93,-2.36,-3.51
Tax %,-13.49%,6.67%,-2.36%,-4.47%,-7.43%,-1.62%,-279.25%,-7.25%,11.49%,-68.89%,-63.82%,-9.32%,5.41%
Net Profit +,-31.24,-314.21,-23.21,-21.56,-21.42,-24.83,0.95,-20.35,104.71,168.59,-1.06,-2.14,-3.70
EPS in Rs,-8.20,-82.47,-6.09,-5.66,-5.62,-6.52,0.25,-5.34,27.48,25.31,-0.16,-0.32,-0.56
Raw PDF,,,,,,,,,,,,,
