,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,32.24,33.14,88.86,35.79,72.01,53.89,100.33,35.84,67.56,56.63,183.98,39.97,91.86
Expenses +,20.86,-5.17,49.88,33.44,42.83,39.42,50.35,31.56,42.39,39.39,73.54,43.76,62.25
Operating Profit,11.38,38.31,38.98,2.35,29.18,14.47,49.98,4.28,25.17,17.24,110.44,-3.79,29.61
OPM %,35.30%,115.60%,43.87%,6.57%,40.52%,26.85%,49.82%,11.94%,37.26%,30.44%,60.03%,-9.48%,32.23%
Other Income +,1.24,1.89,562.76,1.85,4.16,-490.83,570.58,-42.33,0.57,-1.55,-0.57,3.10,1.70
Interest,48.92,48.93,46.82,3.55,3.46,-1.24,0.40,0.38,0.41,0.38,0.39,2.09,3.69
Depreciation,23.07,21.95,22.65,22.88,22.89,-119.16,22.70,22.96,18.09,15.54,21.11,21.87,23.12
Profit before tax,-59.37,-30.68,532.27,-22.23,6.99,-355.96,597.46,-61.39,7.24,-0.23,88.37,-24.65,4.50
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,-55.08%,1.39%,-6.55%,40.47%,"-2,204.35%",25.17%,-73.23%,28.44%
Net Profit +,-59.37,-30.68,532.27,-22.24,6.99,-159.88,589.15,-57.37,4.32,4.84,66.13,-6.59,3.22
EPS in Rs,-6.74,-3.47,12.99,-0.54,0.17,-3.88,12.23,-1.19,0.09,0.10,1.22,-0.12,0.06
Raw PDF,,,,,,,,,,,,,
