,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,804,"1,381",695,535,462,798,298,616,602,854,191,545,832
Expenses +,514,977,653,441,373,615,330,482,483,538,243,446,705
Operating Profit,290,404,42,94,89,183,-33,134,119,316,-52,99,127
OPM %,36%,29%,6%,18%,19%,23%,-11%,22%,20%,37%,-27%,18%,15%
Other Income +,35,-5,37,45,36,37,107,78,88,88,80,86,84
Interest,1,1,2,1,1,1,1,1,1,1,1,1,1
Depreciation,25,21,23,21,19,14,17,17,16,16,16,18,18
Profit before tax,299,378,53,117,106,206,57,194,189,388,11,166,193
Tax %,29%,30%,25%,35%,21%,26%,27%,24%,29%,26%,36%,26%,24%
Net Profit +,213,264,40,76,84,153,42,147,135,289,7,123,147
EPS in Rs,5.82,7.21,1.09,2.07,2.28,4.17,1.14,4.01,3.68,7.88,0.20,3.34,4.01
Raw PDF,,,,,,,,,,,,,
