,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,726","2,180","2,426","2,091","2,053","2,579","2,708","2,607","2,422","2,893","3,077","3,199","3,079"
Expenses +,"1,441","1,724","1,835","1,654","1,636","1,924","2,025","2,000","1,836","2,212","2,226","2,383","2,396"
Operating Profit,285,456,591,437,417,655,683,606,586,682,850,816,683
OPM %,16%,21%,24%,21%,20%,25%,25%,23%,24%,24%,28%,26%,22%
Other Income +,39,20,31,40,50,63,63,75,94,105,112,87,249
Interest,13,16,10,13,5,6,9,9,9,11,7,221,191
Depreciation,47,78,79,85,85,87,96,110,100,108,106,187,231
Profit before tax,263,382,533,379,377,624,641,562,572,668,849,495,511
Tax %,27%,22%,21%,22%,22%,21%,20%,18%,17%,19%,22%,22%,17%
Net Profit +,193,298,423,296,294,494,511,460,477,543,659,385,425
EPS in Rs,4.75,7.30,10.48,7.09,7.13,12.15,12.51,11.33,11.76,13.39,16.31,9.22,10.20
Raw PDF,,,,,,,,,,,,,
