,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022
Sales +,340,623,749,534,346,663,725,570,471,741,728,628,508
Expenses +,333,528,630,478,356,534,608,510,454,619,640,561,510
Operating Profit,7,95,119,56,-10,128,117,60,18,122,88,67,-3
OPM %,2%,15%,16%,10%,-3%,19%,16%,11%,4%,16%,12%,11%,-1%
Other Income +,11,8,7,10,21,12,15,14,10,7,7,5,7
Interest,2,2,2,2,1,2,1,1,1,1,1,1,1
Depreciation,11,14,19,16,13,18,20,11,15,18,18,18,20
Profit before tax,6,87,105,48,-3,120,110,62,12,109,76,53,-16
Tax %,76%,22%,19%,21%,-126%,24%,24%,26%,30%,25%,26%,25%,-13%
Net Profit +,1,68,85,38,1,92,83,46,8,82,56,40,-14
EPS in Rs,0.08,3.48,4.41,1.96,0.03,4.72,4.27,2.35,0.42,4.23,2.90,2.03,-0.73
Raw PDF,,,,,,,,,,,,,
