,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,973,"1,187","1,016","1,091","1,150","1,224","1,204","1,187","1,222","1,401","1,230","1,312","1,182"
Expenses +,854,"1,067",897,"1,026","1,004","1,079","1,058","1,041","1,088","1,239","1,104","1,206","1,044"
Operating Profit,119,120,119,64,146,146,146,146,134,162,127,106,138
OPM %,12%,10%,12%,6%,13%,12%,12%,12%,11%,12%,10%,8%,12%
Other Income +,71,177,44,26,54,98,74,72,75,100,202,57,67
Interest,0,1,0,0,0,1,0,0,0,1,0,0,0
Depreciation,10,9,9,11,11,15,10,11,11,12,11,12,12
Profit before tax,179,287,153,79,189,228,210,206,198,250,318,151,193
Tax %,20%,22%,22%,30%,18%,23%,24%,25%,24%,25%,23%,22%,24%
Net Profit +,143,224,120,55,154,175,160,154,151,186,244,118,147
EPS in Rs,9.35,14.68,7.82,3.62,10.09,11.44,10.49,10.08,9.87,12.17,15.95,7.71,9.63
Raw PDF,,,,,,,,,,,,,
