,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,614,510,465,658,598,490,"1,018",833,811,749,806,732,"1,218"
Expenses +,573,488,450,599,557,444,948,768,752,711,742,653,"1,097"
Operating Profit,41,22,15,59,41,47,70,65,58,38,64,79,121
OPM %,7%,4%,3%,9%,7%,10%,7%,8%,7%,5%,8%,11%,10%
Other Income +,16,12,2,14,11,4,21,14,14,20,11,6,15
Interest,10,9,9,12,6,21,22,20,25,18,21,26,35
Depreciation,12,12,11,11,11,15,15,16,15,13,11,11,11
Profit before tax,35,14,-3,49,34,14,54,43,32,28,43,47,91
Tax %,25%,29%,63%,25%,12%,22%,28%,29%,26%,31%,26%,27%,25%
Net Profit +,27,10,-5,37,30,11,39,31,24,19,32,34,68
EPS in Rs,4.48,1.64,-0.85,6.19,4.96,1.87,6.50,5.09,3.73,2.94,4.92,5.27,10.53
Raw PDF,,,,,,,,,,,,,
